CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
876,3998.95,-0.033,0.229,0.503,0.363,-1.675,0.163,2.097,1.665,0.979,0.01,-0.056,1619.253,159860.0,20,0.284,False,True,False,False,False,False
877,-3110.307,1.363,1.338,-0.461,-0.426,-5.311,0.463,3.496,2.153,-0.433,0.014,0.057,1130.13,197843.0,20,0.864,True,False,False,False,False,True
879,2860.123,0.237,0.576,-0.051,-0.023,-3.634,0.337,0.09,1.014,-0.157,-0.002,-0.084,,188636.0,20,-0.046,False,False,False,False,False,False
889,35446.995,-0.078,-0.101,0.145,0.114,-1.781,0.073,-0.696,0.793,0.153,0.162,-0.092,93.736,295683.0,20,1.993,False,False,False,False,False,True
893,20104.914,-0.855,-0.115,0.032,0.03,1.78,-0.159,3.386,0.268,0.447,0.046,0.009,221.678,834392.0,20,0.319,False,False,False,False,False,False
898,10329.254,-0.577,-0.198,-0.042,-0.029,0.968,-0.048,3.728,1.307,0.51,0.113,0.113,130.95,298150.0,20,-0.106,False,False,True,False,False,False
899,717.814,-0.057,0.409,0.055,0.073,-2.066,0.095,5.169,2.23,0.388,0.124,0.134,157.042,100296.0,20,0.905,False,False,True,False,False,True
902,8554.283,-0.234,-0.032,-0.09,-0.037,0.793,-0.029,2.533,1.272,2.173,0.012,-0.049,1078.321,367957.0,20,0.225,False,False,False,False,False,False
903,58775.612,0.402,0.362,0.244,0.141,-3.779,0.17,3.353,0.889,0.212,0.076,0.03,112.105,1276984.0,20,0.328,True,True,False,False,False,False
920,,,,,,,,,,,,,,66654.0,5,,False,False,False,False,False,False
925,2599.777,0.511,0.621,-0.066,-0.042,5.343,-0.293,3.332,0.482,-0.295,0.064,-0.02,283.269,124459.0,20,0.271,False,False,False,False,True,False
926,6124.352,0.058,0.415,0.678,0.261,0.19,0.008,1.3,2.668,-0.023,0.013,-0.051,846.869,589004.0,20,-0.149,False,True,False,False,False,False
931,300.68,0.132,0.409,-0.075,-0.175,-3.387,0.119,-0.44,1.561,-0.963,0.012,0.034,1726.502,57905.0,20,-0.066,False,False,False,False,False,False
938,,,,,,,,,,,,,,100726.0,3,,False,False,False,False,False,False
939,-1093.143,-2.145,-1.479,-0.523,-0.295,96.18,-2.826,0.843,,,,,,53442.0,6,,False,False,False,False,True,False
950,16149.759,-0.376,0.084,-0.037,-0.005,4.452,-0.143,4.653,1.433,0.465,0.048,0.067,261.705,479753.0,20,-0.236,False,False,False,False,True,False
951,7336.83,-0.455,0.058,-0.122,-0.07,4.506,-0.2,3.31,0.989,0.126,0.048,0.031,307.072,277337.0,20,-0.001,False,False,False,False,True,False
953,446777.495,0.051,0.191,-0.002,-0.022,-0.047,0.016,3.716,1.135,0.331,0.016,-0.079,74.864,7469647.0,20,0.326,False,False,False,False,False,False
954,11248.788,0.205,0.207,-0.007,-0.005,-1.803,0.079,3.282,1.743,1.226,0.002,-0.068,8385.08,277414.0,20,0.274,False,False,False,False,False,False
955,37474.46,0.096,0.265,0.064,0.06,-2.786,0.11,4.151,0.747,0.656,0.049,0.028,245.109,543514.0,20,0.184,False,False,False,False,False,False
956,9032.803,1.069,0.844,0.148,0.077,-11.584,0.353,5.112,2.094,2.019,0.096,0.079,144.87,362135.0,20,0.559,True,False,False,False,False,True
