SRC_STATE,COMPANY,ADDRESS,CITY,STALP,ZIP
FL,FAST PAYDAY LOANS INC,5675 WEST FLAGLER STREET,MIAMI,FL,33134
FL,FAST SUPER ENVIOS CORP,12555 COLLIER BLVD UNIT 4,NAPLES,FL,34116
FL,FASTERPAY INC,3305 SPRING MOUNTAIN ROAD,LAS VEGAS,NV,89102
FL,FASTEST SERVICES LLC,1271 SOUTH MILITARY TRAIL,WEST PALM BEACH,FL,33415
FL,FELIX TECHNOLOGIES INC.,201 SOUTH BISCAYNE BOULEVARD,MIAMI,FL,33131
FL,"FIDDLEHEAD INVESTMENTS, INC.",5237 SUMMERLIN COMMONS BLVD,FT MYERS,FL,33907
FL,FIESTA CHECK CASHING LLC,1512 NW 19TH STREET,FORT LAUDERDALE,FL,33311
FL,FIESTA CHECKS & MORE LLC,10530 ROSEMARY DR,BONITA SPRINGS,FL,34135
FL,FIESTA FOOD MARKET II INC,1249 W. SUNRISE BLVD.,FT. LAUDERDALE,FL,33311
FL,FIESTA SUPERMARKET CORPORATION,4130 HWY 17 N,BOWLING GREEN,FL,33834
FL,FIG LOANS TEXAS LLC,2245 TEXAS DRIVE,SUGAR LAND,TX,77479
FL,FIGURE PAYMENTS CORPORATION,650 CALIFORNIA ST,SAN FRANCISCO,CA,94108
FL,"FINXERA, INC.",2001 WESTSIDE PARKWAY,ALPHARETTA,GA,30004
FL,FIREBLOCKS LLC,101 FEDERAL STREET,BOSTON,MA,02110
FL,FLAMINGO FINANCIAL SERVICES PLUS INC.,3171 WEST BROWARD BLVD,FORT LAUDERDALE,FL,33312
FL,FLEXA INC.,"167 N GREEN ST, 4TH FLOOR",CHICAGO,IL,60607
FL,FLORIDA CURRENCY EXCHANGE CORP.,250 WESTSHORE PLAZA,TAMPA,FL,33609
FL,FLYWIRE GLOBAL CORP.,141 TREMONT STREET,BOSTON,MA,02111
FL,"FOLMAR GUN & PAWN, INC",808 N MONROE STREET,TALLAHASSEE,FL,32303
FL,FOR DEPOSIT ONLY CORP,3235 NW 32 AVE #103,MIAMI,FL,33142
FL,"FORIS DAX, INC.",110 N COLLEGE AVE,TYLER,TX,75702
FL,"FRANCHISE NETWORK DELRAY BEACH, INC.",3300 N. STATE ROAD 7,LAUDERDALE LAKES,FL,33319
FL,FRANKY'S EFECTIVO CORP,12344 S.W. 127 AVENUE,MIAMI,FL,33186
FL,FREDS MOBILE CHECK CASHING LLC,3401 BROADWAY,RIVIERA BEACH,FL,33404
FL,FRIENDLY CHECK CASHING INC,540 E. 6TH STREET,PANAMA CITY,FL,32401-3025
FL,FRISCO FINANCIAL LLC,6303 POWERLINE RD,FORT LAUDERDALE,FL,33309
FL,FRUTILANDIA GROCERY INC,15515 SW WARFIELD BLVD,INDIANTOWN,FL,34956
FL,"G & W GROUP, INC.",1217 AIRPORT RD.,NAPLES,FL,34104
FL,G. R. CORPORATION OF LAKE WORTH,625 SO. DIXIE HWY,LAKE WORTH,FL,33460
FL,GALAXYONE PRIME LLC,101 HUDSON ST.,JERSEY CITY,NJ,07302
FL,GALLART INVESTMENT INC,7850 N. W. 74TH STREET,MEDLEY,FL,33166-2314
FL,"GARDA CL FLORIDA, LLC",2000 NW CORPORATE BOULEVARD,BOCA RATON,FL,33431
FL,"GATE US, INC.",5201 GREAT AMERICA PKWY,SANTA CLARA,CA,95054
FL,"GEMINI MOONBASE, LLC",360 NW 27TH STREET,MIAMI,FL,33127
FL,GIACAMAN INC,11014 WILES RD,CORAL SPRINGS,FL,33076
FL,"GIANT SUPERMARKET, LLC",1774 SR 70 WEST,OKEECHOBEE,FL,34972
FL,GILBERT'S JEWELERS & GIFTS INC,200 SW 1ST ST,BELLE GLADE,FL,33430
FL,GIROSOL CORP.,16666 NE 19TH AVE,NORTH MIAMI BEACH,FL,33162
FL,"GLOBAL MARKET BUSINESS USA, INC",278-282 NE 1ST ST,MIAMI,FL,33132
FL,GLOBAL MONEY EXPRESS CORP,1067 SW 8TH ST,MIAMI,FL,33130
FL,GLOVAL INC,11330 N.W. 36TH TERRACE,MIAMI,FL,33178
FL,GOCARDLESS INC.,111 CONGRESS AVENUE,AUSTIN,TX,78701
FL,"GOLDEN MONEY TRANSFER, INC",45 PROSPECT STREET,CAMBRIDGE,MA,02139
FL,GOOGLE PAYMENT CORP.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043
FL,GPD HOLDINGS LLC,433 W. VAN BUREN STREET,CHICAGO,IL,60607
FL,GREEN DOT LLC,"17 20TH STREET NORTH, SUITE 30",BIRMINGHAM,AL,35203
FL,"GSC ENTERPRISES, INC.",1301 MAIN ST,SULPHUR SPRINGS,TX,75482-2601
FL,GSR DIGITAL LLC,101 HUDSON STREET,JERSEY CITY,NJ,07302
FL,"GT GENERAL SERVICES, LLC",750 S OLD DIXIE HWY,JUPITER,FL,33458
FL,GUAVAPAY USA LLC,175 OLDE HALF DAY ROAD,LINCOLNSHIRE,IL,60069
FL,"GULF MANAGEMENT SYSTEMS, INC.",3001 EASTLAND BLVD,CLEARWATER,FL,33761
FL,GURU MEHR LLC,5428 CLEVELAND RD,JACKSONVILLE,FL,32209
FL,"GUSTO, INC.",525 20TH STREET,SAN FRANCISCO,CA,94107
FL,HALA MART INC,3067 S JOG ROAD,GREENACRES,FL,33467
FL,HASSAN BROTHERS INC,2300 S ANDREWS AVE,FT LAUDERDALE,FL,33316
FL,HIALEAH GC1 LLC,548 E COMMERCIAL BLVD,OAKLAND PARK,FL,33334
